evtDate,vin,latitude,longitude,evt_type,evt_date_in_long
2024-06-26 08:23:36+00,XLRTEF5300G362509,51.431069,5.51361,1,1719390216405
2024-06-26 08:24:53+00,XLRTEF5300G362509,51.431069,5.51361,1,1719390293759
2024-06-26 08:29:53+00,XLRTEF5300G362509,51.431076,5.5136,1,1719390593752
2024-06-26 08:34:53+00,XLRTEF5300G362509,51.428555,5.531292,1,1719390893435
2024-06-26 08:39:53+00,XLRTEF5300G362509,51.430314,5.510487,1,1719391193770
2024-06-26 08:41:01+00,XLRTEF5300G362509,51.43121,5.513439,1,1719391261042
2024-06-26 08:44:53+00,XLRTEF5300G362509,51.43104,5.513793,1,1719391493765
2024-06-26 08:47:21+00,XLRTEF5300G362509,51.43105,5.513785,1,1719391641879
2024-06-26 08:49:53+00,XLRTEF5300G362509,51.431122,5.51363,1,1719391793780
2024-06-26 08:54:53+00,XLRTEF5300G362509,51.431129,5.513645,1,1719392093776
2024-06-26 08:59:53+00,XLRTEF5300G362509,51.431116,5.513621,1,1719392393779
2024-06-26 09:04:53+00,XLRTEF5300G362509,51.431109,5.513639,1,1719392693773
2024-06-26 09:09:53+00,XLRTEF5300G362509,51.431097,5.513629,1,1719392993776
2024-06-26 09:14:53+00,XLRTEF5300G362509,51.431094,5.513642,1,1719393293771
2024-06-26 09:19:53+00,XLRTEF5300G362509,51.431087,5.513629,1,1719393593774
2024-06-26 09:24:53+00,XLRTEF5300G362509,51.431087,5.513629,1,1719393893777
2024-06-26 09:29:53+00,XLRTEF5300G362509,51.431091,5.513626,1,1719394193774
2024-06-26 09:34:53+00,XLRTEF5300G362509,51.431104,5.513654,1,1719394493776
2024-06-26 09:39:53+00,XLRTEF5300G362509,51.431101,5.513648,1,1719394793781
2024-06-26 09:44:53+00,XLRTEF5300G362509,51.431098,5.513672,1,1719395093783
2024-06-26 09:49:53+00,XLRTEF5300G362509,51.431101,5.51366,1,1719395393777
2024-06-26 09:54:53+00,XLRTEF5300G362509,51.431101,5.51366,1,1719395693790
2024-06-26 09:59:53+00,XLRTEF5300G362509,51.431094,5.513648,1,1719395993786
2024-06-26 10:04:53+00,XLRTEF5300G362509,51.431086,5.513651,1,1719396293787
2024-06-26 10:09:53+00,XLRTEF5300G362509,51.431086,5.513651,1,1719396593792
2024-06-26 10:14:53+00,XLRTEF5300G362509,51.43108,5.513648,1,1719396893795
2024-06-26 10:19:55+00,XLRTEF5300G362509,51.431097,5.513638,1,1719397195720
2024-06-26 10:24:53+00,XLRTEF5300G362509,51.431079,5.513664,1,1719397493494
2024-06-26 10:29:53+00,XLRTEF5300G362509,51.431102,5.513641,1,1719397793816
2024-06-26 10:34:53+00,XLRTEF5300G362509,51.431118,5.513648,1,1719398093820
2024-06-26 10:39:53+00,XLRTEF5300G362509,51.43111,5.513664,1,1719398393493
2024-06-26 10:44:53+00,XLRTEF5300G362509,51.431116,5.513656,1,1719398693817
2024-06-26 10:49:53+00,XLRTEF5300G362509,51.431113,5.513668,1,1719398993820
2024-06-26 10:54:53+00,XLRTEF5300G362509,51.43114,5.513666,1,1719399293823
2024-06-26 10:59:53+00,XLRTEF5300G362509,51.431137,5.513642,1,1719399593819
2024-06-26 11:04:52+00,XLRTEF5300G362509,51.431128,5.513649,1,1719399892862
2024-06-26 11:09:53+00,XLRTEF5300G362509,51.431128,5.513649,1,1719400193875
2024-06-26 11:14:53+00,XLRTEF5300G362509,51.430229,5.512766,1,1719400493817
2024-06-26 11:16:52+00,XLRTEF5300G362509,51.433808,5.507517,1,1719400612960
2024-06-26 11:42:10+00,XLRTEF5300G362509,51.433762,5.507657,1,1719402130416
2024-06-26 11:45:47+00,XLRTEF5300G362509,51.433748,5.507664,1,1719402347429
2024-06-26 11:47:10+00,XLRTEF5300G362509,51.433739,5.507653,1,1719402430740
2024-06-26 11:52:10+00,XLRTEF5300G362509,51.433695,5.507633,1,1719402730743
2024-06-26 11:56:27+00,XLRTEF5300G362509,51.43373,5.507647,1,1719402987131
2024-06-26 11:56:29+00,XLRTEF5300G362509,51.43373,5.507647,4,1719402989343
2024-06-26 12:02:10+00,XLRTEF5300G362509,51.433737,5.507654,1,1719403330750
2024-06-26 12:06:00+00,XLRTEF5300G362509,51.438063,5.504973,1,1719403560918
2024-06-26 12:06:01+00,XLRTEF5300G362509,51.440123,5.504838,5,1719403561409
2024-06-26 12:17:17+00,XLRTEF5300G362509,51.4402,5.50486,4,1719404237570
2024-06-26 12:22:10+00,XLRTEF5300G362509,51.443786,5.503033,1,1719404530832
2024-06-26 12:27:10+00,XLRTEF5300G362509,51.433229,5.504786,1,1719404830835
2024-06-26 12:28:44+00,XLRTEF5300G362509,51.433688,5.507638,1,1719404924131
2024-06-26 12:28:50+00,XLRTEF5300G362509,51.433688,5.507638,5,1719404930290
